number,name,url,types,height_cm,weight_kg,next_evolutions,abilities
938,Tadbulb,https://pokemondb.net/pokedex/tadbulb,Electric,30.0 cm,0.4 kg,##0939 - Bellibolt - https://pokemondb.net/pokedex/bellibolt,"[{'name': 'Own Tempo', 'desc': 'Prevents confusion.', 'effect': 'Prevents the Pokémon from becoming confused.\n', 'url': 'https://pokemondb.net/ability/own-tempo'}, {'name': 'Static', 'desc': 'Paralyzes on contact.', 'effect': 'If a Pokémon with Static is hit by a move making contact, there is a 30% chance the foe will become paralyzed.', 'url': 'https://pokemondb.net/ability/static'}, {'name': 'Damp', 'desc': 'Prevents self-destruction.', 'effect': 'Damp prevents all Pokémon on the field from using the moves Selfdestruct and Explosion. It also prevents damage (to the Damp Pokémon only) from the ability Aftermath.', 'url': 'https://pokemondb.net/ability/damp'}]"
939,Bellibolt,https://pokemondb.net/pokedex/bellibolt,Electric,120.0 cm,113.0 kg,,"[{'name': 'Electromorphosis', 'desc': 'The Pokémon becomes charged when it takes damage, boosting the power of the next Electric-type move the Pokémon uses.', 'effect': 'If a Pokémon with Electromorphosis is hit by an attack, the power of the next Electric-type move it uses is doubled.', 'url': 'https://pokemondb.net/ability/electromorphosis'}, {'name': 'Static', 'desc': 'Paralyzes on contact.', 'effect': 'If a Pokémon with Static is hit by a move making contact, there is a 30% chance the foe will become paralyzed.', 'url': 'https://pokemondb.net/ability/static'}, {'name': 'Damp', 'desc': 'Prevents self-destruction.', 'effect': 'Damp prevents all Pokémon on the field from using the moves Selfdestruct and Explosion. It also prevents damage (to the Damp Pokémon only) from the ability Aftermath.', 'url': 'https://pokemondb.net/ability/damp'}]"
940,Wattrel,https://pokemondb.net/pokedex/wattrel,"Electric, Flying",40.0 cm,3.6 kg,##0941 - Kilowattrel - https://pokemondb.net/pokedex/kilowattrel,"[{'name': 'Wind Power', 'desc': 'The Pokémon becomes charged when it is hit by a wind move, boosting the power of the next Electric-type move the Pokémon uses.', 'effect': 'If a Pokémon with Wind Power is hit by a wind move, the power of the next Electric-type move it uses is doubled.', 'url': 'https://pokemondb.net/ability/wind-power'}, {'name': 'Volt Absorb', 'desc': 'Turns electricity into HP.', 'effect': 'A Pokémon with Volt Absorb heals 1⁄4 of its maximum HP when hit by an Electric-type attack, including Thunder Wave.', 'url': 'https://pokemondb.net/ability/volt-absorb'}, {'name': 'Competitive', 'desc': 'Boosts the Sp. Atk stat when a stat is lowered.', 'effect': ""Competitive raises the ability-bearer's Special Attack by two stages when hit by a stat-lowering move."", 'url': 'https://pokemondb.net/ability/competitive'}]"
941,Kilowattrel,https://pokemondb.net/pokedex/kilowattrel,"Electric, Flying",140.0 cm,38.6 kg,,"[{'name': 'Wind Power', 'desc': 'The Pokémon becomes charged when it is hit by a wind move, boosting the power of the next Electric-type move the Pokémon uses.', 'effect': 'If a Pokémon with Wind Power is hit by a wind move, the power of the next Electric-type move it uses is doubled.', 'url': 'https://pokemondb.net/ability/wind-power'}, {'name': 'Volt Absorb', 'desc': 'Turns electricity into HP.', 'effect': 'A Pokémon with Volt Absorb heals 1⁄4 of its maximum HP when hit by an Electric-type attack, including Thunder Wave.', 'url': 'https://pokemondb.net/ability/volt-absorb'}, {'name': 'Competitive', 'desc': 'Boosts the Sp. Atk stat when a stat is lowered.', 'effect': ""Competitive raises the ability-bearer's Special Attack by two stages when hit by a stat-lowering move."", 'url': 'https://pokemondb.net/ability/competitive'}]"
942,Maschiff,https://pokemondb.net/pokedex/maschiff,Dark,50.0 cm,16.0 kg,##0943 - Mabosstiff - https://pokemondb.net/pokedex/mabosstiff,"[{'name': 'Intimidate', 'desc': 'Lowers the foe’s ATTACK.', 'effect': ""Intimidate lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle)."", 'url': 'https://pokemondb.net/ability/intimidate'}, {'name': 'Run Away', 'desc': 'Makes escaping easier.', 'effect': 'Run Away allows the bearer to flee a battle with a wild Pokémon without fail, even if the opposing Pokémon has used a move like Mean Look or Bind, or has an ability such as Arena Trap.', 'url': 'https://pokemondb.net/ability/run-away'}, {'name': 'Stakeout', 'desc': 'Doubles the damage dealt to the target’s replacement if the target switches out.', 'effect': 'Stakeout enables the Pokémon to deal twice the normal damage to any Pokémon that switches in or enters the field mid-battle.', 'url': 'https://pokemondb.net/ability/stakeout'}]"
943,Mabosstiff,https://pokemondb.net/pokedex/mabosstiff,Dark,110.0 cm,61.0 kg,,"[{'name': 'Intimidate', 'desc': 'Lowers the foe’s ATTACK.', 'effect': ""Intimidate lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle)."", 'url': 'https://pokemondb.net/ability/intimidate'}, {'name': 'Guard Dog', 'desc': 'Boosts the Pokémon’s Attack stat if intimidated. Moves and items that would force the Pokémon to switch out also fail to work.', 'effect': 'Boosts Attack if intimidated, and prevents being forced to switch out.\n', 'url': 'https://pokemondb.net/ability/guard-dog'}, {'name': 'Stakeout', 'desc': 'Doubles the damage dealt to the target’s replacement if the target switches out.', 'effect': 'Stakeout enables the Pokémon to deal twice the normal damage to any Pokémon that switches in or enters the field mid-battle.', 'url': 'https://pokemondb.net/ability/stakeout'}]"
944,Shroodle,https://pokemondb.net/pokedex/shroodle,"Poison, Normal",20.0 cm,0.7 kg,##0945 - Grafaiai - https://pokemondb.net/pokedex/grafaiai,"[{'name': 'Unburden', 'desc': 'Raises Speed if a held item is used.', 'effect': 'Raises Speed if a held item is used.\n', 'url': 'https://pokemondb.net/ability/unburden'}, {'name': 'Pickpocket', 'desc': 'Steals an item when hit by another Pokémon.', 'effect': 'Steals an item when hit by another Pokémon.\n', 'url': 'https://pokemondb.net/ability/pickpocket'}, {'name': 'Prankster', 'desc': 'Gives priority to a status move.', 'effect': 'Prankster increases the priority of status moves by +1.', 'url': 'https://pokemondb.net/ability/prankster'}]"
945,Grafaiai,https://pokemondb.net/pokedex/grafaiai,"Poison, Normal",70.0 cm,27.2 kg,,"[{'name': 'Unburden', 'desc': 'Raises Speed if a held item is used.', 'effect': 'Raises Speed if a held item is used.\n', 'url': 'https://pokemondb.net/ability/unburden'}, {'name': 'Poison Touch', 'desc': 'May poison targets when a Pokémon makes contact.', 'effect': 'May poison targets when a Pokémon makes contact.\n', 'url': 'https://pokemondb.net/ability/poison-touch'}, {'name': 'Prankster', 'desc': 'Gives priority to a status move.', 'effect': 'Prankster increases the priority of status moves by +1.', 'url': 'https://pokemondb.net/ability/prankster'}]"
946,Bramblin,https://pokemondb.net/pokedex/bramblin,"Grass, Ghost",60.0 cm,0.6 kg,##0947 - Brambleghast - https://pokemondb.net/pokedex/brambleghast,"[{'name': 'Wind Rider', 'desc': 'Boosts the Pokémon’s Attack stat if Tailwind takes effect or if the Pokémon is hit by a wind move. The Pokémon also takes no damage from wind moves.', 'effect': ""Wind Rider gives immunity to wind moves, and causes the Pokémon's Attack to increase by one stage when hit by one."", 'url': 'https://pokemondb.net/ability/wind-rider'}, {'name': 'Infiltrator', 'desc': 'Passes through the foe’s barrier and strikes.', 'effect': 'Infiltrator ignores the effects of Reflect, Light Screen and Safeguard. In other words, if the opponent has used Safeguard, Toxic would still badly poison them.', 'url': 'https://pokemondb.net/ability/infiltrator'}]"
947,Brambleghast,https://pokemondb.net/pokedex/brambleghast,"Grass, Ghost",120.0 cm,6.0 kg,,"[{'name': 'Wind Rider', 'desc': 'Boosts the Pokémon’s Attack stat if Tailwind takes effect or if the Pokémon is hit by a wind move. The Pokémon also takes no damage from wind moves.', 'effect': ""Wind Rider gives immunity to wind moves, and causes the Pokémon's Attack to increase by one stage when hit by one."", 'url': 'https://pokemondb.net/ability/wind-rider'}, {'name': 'Infiltrator', 'desc': 'Passes through the foe’s barrier and strikes.', 'effect': 'Infiltrator ignores the effects of Reflect, Light Screen and Safeguard. In other words, if the opponent has used Safeguard, Toxic would still badly poison them.', 'url': 'https://pokemondb.net/ability/infiltrator'}]"
948,Toedscool,https://pokemondb.net/pokedex/toedscool,"Ground, Grass",90.0 cm,33.0 kg,##0949 - Toedscruel - https://pokemondb.net/pokedex/toedscruel,"[{'name': 'Mycelium Might', 'desc': 'The Pokémon will always act more slowly when using status moves, but these moves will be unimpeded by the Ability of the target.', 'effect': ""Status moves go last, but are not affected by the opponent's ability.\n"", 'url': 'https://pokemondb.net/ability/mycelium-might'}]"
949,Toedscruel,https://pokemondb.net/pokedex/toedscruel,"Ground, Grass",190.0 cm,58.0 kg,,"[{'name': 'Mycelium Might', 'desc': 'The Pokémon will always act more slowly when using status moves, but these moves will be unimpeded by the Ability of the target.', 'effect': ""Status moves go last, but are not affected by the opponent's ability.\n"", 'url': 'https://pokemondb.net/ability/mycelium-might'}]"
950,Klawf,https://pokemondb.net/pokedex/klawf,Rock,130.0 cm,79.0 kg,,"[{'name': 'Anger Shell', 'desc': 'When an attack causes its HP to drop to half or less, the Pokémon gets angry. This lowers its Defense and Sp. Def stats but boosts its Attack, Sp. Atk, and Speed stats.', 'effect': ""When the Pokémon's HP drops below half, Anger Shell lowers its Defense and Special Defense but its Attack, Special Attack and Speed are raised."", 'url': 'https://pokemondb.net/ability/anger-shell'}, {'name': 'Shell Armor', 'desc': 'Blocks critical hits.', 'effect': 'Shell Armor prevents the Pokémon from receiving a critical hit.', 'url': 'https://pokemondb.net/ability/shell-armor'}, {'name': 'Regenerator', 'desc': 'Restores a little HP when withdrawn from battle.', 'effect': 'A Pokémon with Regenerator restores 1⁄3 of its maximum HP when switching out.', 'url': 'https://pokemondb.net/ability/regenerator'}]"
951,Capsakid,https://pokemondb.net/pokedex/capsakid,Grass,30.0 cm,3.0 kg,##0952 - Scovillain - https://pokemondb.net/pokedex/scovillain,"[{'name': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'effect': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}, {'name': 'Insomnia', 'desc': 'Prevents sleep.', 'effect': 'Insomnia prevents the ability-bearer from falling asleep, both from moves by other Pokémon like Sing, and self-inflicted sleep like Rest.', 'url': 'https://pokemondb.net/ability/insomnia'}, {'name': 'Klutz', 'desc': 'The Pokémon can’t use any held items.', 'effect': ""The Pokémon can't use any held items.\n"", 'url': 'https://pokemondb.net/ability/klutz'}]"
952,Scovillain,https://pokemondb.net/pokedex/scovillain,"Grass, Fire",90.0 cm,15.0 kg,,"[{'name': 'Chlorophyll', 'desc': 'Raises SPEED in sunshine.', 'effect': ""Chlorophyll doubles the ability-bearer's Speed during bright sunshine."", 'url': 'https://pokemondb.net/ability/chlorophyll'}, {'name': 'Insomnia', 'desc': 'Prevents sleep.', 'effect': 'Insomnia prevents the ability-bearer from falling asleep, both from moves by other Pokémon like Sing, and self-inflicted sleep like Rest.', 'url': 'https://pokemondb.net/ability/insomnia'}, {'name': 'Moody', 'desc': 'Raises one stat and lowers another.', 'effect': 'Raises one stat and lowers another.\n', 'url': 'https://pokemondb.net/ability/moody'}]"
953,Rellor,https://pokemondb.net/pokedex/rellor,Bug,20.0 cm,1.0 kg,##0954 - Rabsca - https://pokemondb.net/pokedex/rabsca,"[{'name': 'Compound Eyes', 'desc': 'Raises accuracy.', 'effect': ""Compound Eyes raises the ability-bearer's accuracy by 30%."", 'url': 'https://pokemondb.net/ability/compound-eyes'}, {'name': 'Shed Skin', 'desc': 'Heals the body by shedding.', 'effect': 'The Pokémon may heal its own status problems.\n', 'url': 'https://pokemondb.net/ability/shed-skin'}]"
954,Rabsca,https://pokemondb.net/pokedex/rabsca,"Bug, Psychic",30.0 cm,3.5 kg,,"[{'name': 'Synchronize', 'desc': 'Passes on status problems.', 'effect': 'If the opponent causes a burn, paralysis, or poisoning of a Pokémon with Synchronize, the opponent receives the status condition too. Self-inflicted status conditions (for example through the use of an item) are not passed on.', 'url': 'https://pokemondb.net/ability/synchronize'}, {'name': 'Telepathy', 'desc': 'Anticipates an ally’s attack and dodges it.', 'effect': 'Pokémon with the Telepathy ability will not take damage from teammates in double and triple battles.', 'url': 'https://pokemondb.net/ability/telepathy'}]"
955,Flittle,https://pokemondb.net/pokedex/flittle,Psychic,20.0 cm,1.5 kg,##0956 - Espathra - https://pokemondb.net/pokedex/espathra,"[{'name': 'Anticipation', 'desc': 'Senses the foe’s dangerous moves.', 'effect': 'A Pokémon with Anticipation will shudder upon entering battle, if an opponent has a move that is super-effective against it, or a One-Hit-KO move (Fissure, Horn Drill, Guillotine or Sheer Cold). It only activates when the ability-bearer switches in, not when an opponent switches in.', 'url': 'https://pokemondb.net/ability/anticipation'}, {'name': 'Frisk', 'desc': 'The Pokémon can check the foe’s held item.', 'effect': ""The Pokémon can check a foe's held item.\n"", 'url': 'https://pokemondb.net/ability/frisk'}, {'name': 'Speed Boost', 'desc': 'Gradually boosts SPEED.', 'effect': 'Its Speed stat is gradually boosted.\n', 'url': 'https://pokemondb.net/ability/speed-boost'}]"
956,Espathra,https://pokemondb.net/pokedex/espathra,Psychic,190.0 cm,90.0 kg,,"[{'name': 'Opportunist', 'desc': 'If an opponent’s stat is boosted, the Pokémon seizes the opportunity to boost the same stat for itself.', 'effect': 'Copies stat boosts by the opponent.\n', 'url': 'https://pokemondb.net/ability/opportunist'}, {'name': 'Frisk', 'desc': 'The Pokémon can check the foe’s held item.', 'effect': ""The Pokémon can check a foe's held item.\n"", 'url': 'https://pokemondb.net/ability/frisk'}, {'name': 'Speed Boost', 'desc': 'Gradually boosts SPEED.', 'effect': 'Its Speed stat is gradually boosted.\n', 'url': 'https://pokemondb.net/ability/speed-boost'}]"
957,Tinkatink,https://pokemondb.net/pokedex/tinkatink,"Fairy, Steel",40.0 cm,8.9 kg,##0958 - Tinkatuff - https://pokemondb.net/pokedex/tinkatuff; ##0959 - Tinkaton - https://pokemondb.net/pokedex/tinkaton,"[{'name': 'Mold Breaker', 'desc': 'Moves can be used regardless of abilities.', 'effect': ""Mold Breaker prevents a target's ability from affecting moves that the Mold Breaker Pokémon uses. It only affects abilities that change the power, accuracy or other effects of moves."", 'url': 'https://pokemondb.net/ability/mold-breaker'}, {'name': 'Own Tempo', 'desc': 'Prevents confusion.', 'effect': 'Prevents the Pokémon from becoming confused.\n', 'url': 'https://pokemondb.net/ability/own-tempo'}, {'name': 'Pickpocket', 'desc': 'Steals an item when hit by another Pokémon.', 'effect': 'Steals an item when hit by another Pokémon.\n', 'url': 'https://pokemondb.net/ability/pickpocket'}]"
958,Tinkatuff,https://pokemondb.net/pokedex/tinkatuff,"Fairy, Steel",70.0 cm,59.1 kg,##0959 - Tinkaton - https://pokemondb.net/pokedex/tinkaton,"[{'name': 'Mold Breaker', 'desc': 'Moves can be used regardless of abilities.', 'effect': ""Mold Breaker prevents a target's ability from affecting moves that the Mold Breaker Pokémon uses. It only affects abilities that change the power, accuracy or other effects of moves."", 'url': 'https://pokemondb.net/ability/mold-breaker'}, {'name': 'Own Tempo', 'desc': 'Prevents confusion.', 'effect': 'Prevents the Pokémon from becoming confused.\n', 'url': 'https://pokemondb.net/ability/own-tempo'}, {'name': 'Pickpocket', 'desc': 'Steals an item when hit by another Pokémon.', 'effect': 'Steals an item when hit by another Pokémon.\n', 'url': 'https://pokemondb.net/ability/pickpocket'}]"
959,Tinkaton,https://pokemondb.net/pokedex/tinkaton,"Fairy, Steel",70.0 cm,112.8 kg,,"[{'name': 'Mold Breaker', 'desc': 'Moves can be used regardless of abilities.', 'effect': ""Mold Breaker prevents a target's ability from affecting moves that the Mold Breaker Pokémon uses. It only affects abilities that change the power, accuracy or other effects of moves."", 'url': 'https://pokemondb.net/ability/mold-breaker'}, {'name': 'Own Tempo', 'desc': 'Prevents confusion.', 'effect': 'Prevents the Pokémon from becoming confused.\n', 'url': 'https://pokemondb.net/ability/own-tempo'}, {'name': 'Pickpocket', 'desc': 'Steals an item when hit by another Pokémon.', 'effect': 'Steals an item when hit by another Pokémon.\n', 'url': 'https://pokemondb.net/ability/pickpocket'}]"
960,Wiglett,https://pokemondb.net/pokedex/wiglett,Water,120.0 cm,1.8 kg,##0961 - Wugtrio - https://pokemondb.net/pokedex/wugtrio,"[{'name': 'Gooey', 'desc': 'Contact with the Pokémon lowers the attacker’s Speed stat.', 'effect': ""Contact with the Pokémon lowers the attacker's Speed stat.\n"", 'url': 'https://pokemondb.net/ability/gooey'}, {'name': 'Rattled', 'desc': 'Some move types scare it and boost its Speed.', 'effect': 'When a Pokémon with Rattled is hit by a Bug, Ghost or Dark type move, its Speed is raised one stage (up to the usual maximum of +6 stages).', 'url': 'https://pokemondb.net/ability/rattled'}, {'name': 'Sand Veil', 'desc': 'Ups evasion in a sandstorm.', 'effect': ""Sand Veil raises the ability-bearer's evasion by 20% in a sandstorm. It also gives immunity to sandstorm damage (if they are not already protected by being Ground/Rock/Steel type)."", 'url': 'https://pokemondb.net/ability/sand-veil'}]"
961,Wugtrio,https://pokemondb.net/pokedex/wugtrio,Water,120.0 cm,5.4 kg,,"[{'name': 'Gooey', 'desc': 'Contact with the Pokémon lowers the attacker’s Speed stat.', 'effect': ""Contact with the Pokémon lowers the attacker's Speed stat.\n"", 'url': 'https://pokemondb.net/ability/gooey'}, {'name': 'Rattled', 'desc': 'Some move types scare it and boost its Speed.', 'effect': 'When a Pokémon with Rattled is hit by a Bug, Ghost or Dark type move, its Speed is raised one stage (up to the usual maximum of +6 stages).', 'url': 'https://pokemondb.net/ability/rattled'}, {'name': 'Sand Veil', 'desc': 'Ups evasion in a sandstorm.', 'effect': ""Sand Veil raises the ability-bearer's evasion by 20% in a sandstorm. It also gives immunity to sandstorm damage (if they are not already protected by being Ground/Rock/Steel type)."", 'url': 'https://pokemondb.net/ability/sand-veil'}]"
962,Bombirdier,https://pokemondb.net/pokedex/bombirdier,"Flying, Dark",150.0 cm,42.9 kg,,"[{'name': 'Big Pecks', 'desc': 'Protects the Pokémon from Defense-lowering attacks.', 'effect': ""Big Pecks prevents the ability-bearer's Defense stat from being lowered, for example via Tail Whip."", 'url': 'https://pokemondb.net/ability/big-pecks'}, {'name': 'Keen Eye', 'desc': 'Prevents loss of accuracy.', 'effect': 'Keen Eye prevents the Pokémon from losing accuracy, for example from moves like Sand-Attack.', 'url': 'https://pokemondb.net/ability/keen-eye'}, {'name': 'Rocky Payload', 'desc': 'Powers up Rock-type moves.', 'effect': 'Rocky Payload increases the power of Rock-type moves used by this Pokémon by 50%.', 'url': 'https://pokemondb.net/ability/rocky-payload'}]"
963,Finizen,https://pokemondb.net/pokedex/finizen,Water,130.0 cm,60.2 kg,##0964 - Palafin - https://pokemondb.net/pokedex/palafin,"[{'name': 'Water Veil', 'desc': 'Prevents burns.', 'effect': 'Prevents the Pokémon from getting a burn.\n', 'url': 'https://pokemondb.net/ability/water-veil'}]"
964,Palafin,https://pokemondb.net/pokedex/palafin,Water,130.0 cm,60.2 kg,,"[{'name': 'Zero to Hero', 'desc': 'The Pokémon transforms into its Hero Form when it switches out.', 'effect': 'Transforms into its Hero Form when switching out.\n', 'url': 'https://pokemondb.net/ability/zero-to-hero'}]"
965,Varoom,https://pokemondb.net/pokedex/varoom,"Steel, Poison",100.0 cm,35.0 kg,##0966 - Revavroom - https://pokemondb.net/pokedex/revavroom,"[{'name': 'Overcoat', 'desc': 'Protects the Pokémon from damage from weather.', 'effect': 'Overcoat makes the Pokémon immune to residual damage from weather conditions (specifically Hail and Sandstorm).', 'url': 'https://pokemondb.net/ability/overcoat'}, {'name': 'Slow Start', 'desc': 'Temporarily halves Attack and Speed.', 'effect': 'Temporarily halves Attack and Speed.\n', 'url': 'https://pokemondb.net/ability/slow-start'}]"
966,Revavroom,https://pokemondb.net/pokedex/revavroom,"Steel, Poison",180.0 cm,120.0 kg,,"[{'name': 'Overcoat', 'desc': 'Protects the Pokémon from damage from weather.', 'effect': 'Overcoat makes the Pokémon immune to residual damage from weather conditions (specifically Hail and Sandstorm).', 'url': 'https://pokemondb.net/ability/overcoat'}, {'name': 'Filter', 'desc': 'Powers down supereffective moves.', 'effect': 'Filter reduces the damage taken from super-effective attacks by 25%.', 'url': 'https://pokemondb.net/ability/filter'}]"
967,Cyclizar,https://pokemondb.net/pokedex/cyclizar,"Dragon, Normal",160.0 cm,63.0 kg,,"[{'name': 'Shed Skin', 'desc': 'Heals the body by shedding.', 'effect': 'The Pokémon may heal its own status problems.\n', 'url': 'https://pokemondb.net/ability/shed-skin'}, {'name': 'Regenerator', 'desc': 'Restores a little HP when withdrawn from battle.', 'effect': 'A Pokémon with Regenerator restores 1⁄3 of its maximum HP when switching out.', 'url': 'https://pokemondb.net/ability/regenerator'}]"
968,Orthworm,https://pokemondb.net/pokedex/orthworm,Steel,250.0 cm,310.0 kg,,"[{'name': 'Earth Eater', 'desc': 'If hit by a Ground-type move, the Pokémon has its HP restored instead of taking damage.', 'effect': 'Restores HP when hit by a Ground-type move.\n', 'url': 'https://pokemondb.net/ability/earth-eater'}, {'name': 'Sand Veil', 'desc': 'Ups evasion in a sandstorm.', 'effect': ""Sand Veil raises the ability-bearer's evasion by 20% in a sandstorm. It also gives immunity to sandstorm damage (if they are not already protected by being Ground/Rock/Steel type)."", 'url': 'https://pokemondb.net/ability/sand-veil'}]"
969,Glimmet,https://pokemondb.net/pokedex/glimmet,"Rock, Poison",70.0 cm,8.0 kg,##0970 - Glimmora - https://pokemondb.net/pokedex/glimmora,"[{'name': 'Toxic Debris', 'desc': 'Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.', 'effect': 'Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.\n', 'url': 'https://pokemondb.net/ability/toxic-debris'}, {'name': 'Corrosion', 'desc': 'The Pokémon can poison the target even if it’s a Steel or Poison type.', 'effect': 'Corrosion allows the bearer to poison any Pokémon, including Steel and Poison types.', 'url': 'https://pokemondb.net/ability/corrosion'}]"
970,Glimmora,https://pokemondb.net/pokedex/glimmora,"Rock, Poison",150.0 cm,45.0 kg,,"[{'name': 'Toxic Debris', 'desc': 'Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.', 'effect': 'Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.\n', 'url': 'https://pokemondb.net/ability/toxic-debris'}, {'name': 'Corrosion', 'desc': 'The Pokémon can poison the target even if it’s a Steel or Poison type.', 'effect': 'Corrosion allows the bearer to poison any Pokémon, including Steel and Poison types.', 'url': 'https://pokemondb.net/ability/corrosion'}]"
971,Greavard,https://pokemondb.net/pokedex/greavard,Ghost,60.0 cm,35.0 kg,##0972 - Houndstone - https://pokemondb.net/pokedex/houndstone,"[{'name': 'Pickup', 'desc': 'May pick up items.', 'effect': 'When another Pokémon on the field uses a single-use held item, a Pokémon with Pickup will obtain the used item (if they are not already holding anything) and it can be used again.', 'url': 'https://pokemondb.net/ability/pickup'}, {'name': 'Fluffy', 'desc': 'Halves the damage taken from moves that make direct contact, but doubles that of Fire-type moves.', 'effect': 'Fluffy reduces damage from contact moves by 50%, but Fire-type moves do double damage. Fire-type moves that make contact do regular damage.', 'url': 'https://pokemondb.net/ability/fluffy'}]"
972,Houndstone,https://pokemondb.net/pokedex/houndstone,Ghost,200.0 cm,15.0 kg,,"[{'name': 'Sand Rush', 'desc': 'Boosts the Pokémon’s Speed in a sandstorm.', 'effect': ""Sand Rush doubles the ability-bearer's Speed during a sandstorm."", 'url': 'https://pokemondb.net/ability/sand-rush'}, {'name': 'Fluffy', 'desc': 'Halves the damage taken from moves that make direct contact, but doubles that of Fire-type moves.', 'effect': 'Fluffy reduces damage from contact moves by 50%, but Fire-type moves do double damage. Fire-type moves that make contact do regular damage.', 'url': 'https://pokemondb.net/ability/fluffy'}]"
973,Flamigo,https://pokemondb.net/pokedex/flamigo,"Flying, Fighting",160.0 cm,37.0 kg,,"[{'name': 'Scrappy', 'desc': 'Enables moves to hit Ghost-type foes.', 'effect': 'Enables moves to hit Ghost-type Pokémon.\n', 'url': 'https://pokemondb.net/ability/scrappy'}, {'name': 'Tangled Feet', 'desc': 'Raises evasion if the Pokémon is confused.', 'effect': 'Raises evasion if the Pokémon is confused.\n', 'url': 'https://pokemondb.net/ability/tangled-feet'}, {'name': 'Costar', 'desc': 'When the Pokémon enters a battle, it copies an ally’s stat changes.', 'effect': ""Copies ally's stat changes on entering battle.\n"", 'url': 'https://pokemondb.net/ability/costar'}]"
974,Cetoddle,https://pokemondb.net/pokedex/cetoddle,Ice,120.0 cm,45.0 kg,##0975 - Cetitan - https://pokemondb.net/pokedex/cetitan,"[{'name': 'Thick Fat', 'desc': 'Heat-and-cold protection.', 'effect': 'Thick Fat reduces the damage taken from Fire-type and Ice-type moves by 50%.', 'url': 'https://pokemondb.net/ability/thick-fat'}, {'name': 'Snow Cloak', 'desc': 'Raises evasion in a hailstorm.', 'effect': ""Snow Cloak raises ability-bearer's evasion by 20% in a hail storm. It also gives immunity to damage by hail (if they are not already protected by being Ice type)."", 'url': 'https://pokemondb.net/ability/snow-cloak'}, {'name': 'Sheer Force', 'desc': 'Removes added effects to increase move damage.', 'effect': 'Sheer Force increases the power of moves that have beneficial secondary effects by 30%, but removes those additional effects.', 'url': 'https://pokemondb.net/ability/sheer-force'}]"
975,Cetitan,https://pokemondb.net/pokedex/cetitan,Ice,450.0 cm,700.0 kg,,"[{'name': 'Thick Fat', 'desc': 'Heat-and-cold protection.', 'effect': 'Thick Fat reduces the damage taken from Fire-type and Ice-type moves by 50%.', 'url': 'https://pokemondb.net/ability/thick-fat'}, {'name': 'Slush Rush', 'desc': 'Boosts the Pokémon’s Speed stat in a hailstorm.', 'effect': ""Boosts the Pokémon's Speed stat in a hailstorm.\n"", 'url': 'https://pokemondb.net/ability/slush-rush'}, {'name': 'Sheer Force', 'desc': 'Removes added effects to increase move damage.', 'effect': 'Sheer Force increases the power of moves that have beneficial secondary effects by 30%, but removes those additional effects.', 'url': 'https://pokemondb.net/ability/sheer-force'}]"
976,Veluza,https://pokemondb.net/pokedex/veluza,"Water, Psychic",250.0 cm,90.0 kg,,"[{'name': 'Mold Breaker', 'desc': 'Moves can be used regardless of abilities.', 'effect': ""Mold Breaker prevents a target's ability from affecting moves that the Mold Breaker Pokémon uses. It only affects abilities that change the power, accuracy or other effects of moves."", 'url': 'https://pokemondb.net/ability/mold-breaker'}, {'name': 'Sharpness', 'desc': 'Powers up slicing moves.', 'effect': 'Sharpness increases the power of all slicing moves by 50%.', 'url': 'https://pokemondb.net/ability/sharpness'}]"
977,Dondozo,https://pokemondb.net/pokedex/dondozo,Water,1200.0 cm,220.0 kg,,"[{'name': 'Unaware', 'desc': 'Ignores any change in ability by the foe.', 'effect': 'Ignores any stat changes in the Pokémon.\n', 'url': 'https://pokemondb.net/ability/unaware'}, {'name': 'Oblivious', 'desc': 'Prevents attraction.', 'effect': 'Oblivious makes the Pokémon immune to gender-based moves and abilities, specifically Attract, Captivate and Cute Charm.', 'url': 'https://pokemondb.net/ability/oblivious'}, {'name': 'Water Veil', 'desc': 'Prevents burns.', 'effect': 'Prevents the Pokémon from getting a burn.\n', 'url': 'https://pokemondb.net/ability/water-veil'}]"
978,Tatsugiri,https://pokemondb.net/pokedex/tatsugiri,"Dragon, Water",30.0 cm,8.0 kg,,"[{'name': 'Commander', 'desc': 'When the Pokémon enters a battle, it goes inside the mouth of an ally Dondozo if one is on the field. The Pokémon then issues commands from there.', 'effect': 'Goes inside the mouth of an ally Dondozo if one is on the field.\n', 'url': 'https://pokemondb.net/ability/commander'}, {'name': 'Storm Drain', 'desc': 'The Pokémon draws in all Water-type moves.', 'effect': 'Storm Drain forces all single-target Water-type moves - used by any other Pokémon on the field - to target this Pokémon, and with 100% accuracy. The ability is most useful in double/triple battles.', 'url': 'https://pokemondb.net/ability/storm-drain'}]"
